,Customer Name,Project,Worked Date,Task or Ticket Title,Resource Name,Billable Hours,Hourly Billing Rate,Extended Price,Detailed Customer Category
32,State Transportation,Intranet Extranet Architect and Implementation,2024-01-09 00:00:00,PM,BG,2,162.5,325,Government/Municipality
33,State Transportation,Azure Data Pipeline,2024-01-09 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
34,State Transportation,Intranet Extranet Architect and Implementation,2024-01-10 00:00:00,Create record libraries or lists,GO,5,200,1000,Government/Municipality
35,State Transportation,Intranet Extranet Architect and Implementation,2024-01-10 00:00:00,Implementation,Contractor,7,187.5,1312.5,Government/Municipality
36,State Transportation,Intranet Extranet Architect and Implementation,2024-01-10 00:00:00,PM,BG,2,162.5,325,Government/Municipality
37,State Transportation,Azure Data Pipeline,2024-01-10 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
38,State Transportation,Intranet Extranet Architect and Implementation,2024-01-11 00:00:00,Create record libraries or lists,GO,2,200,400,Government/Municipality
39,State Transportation,Intranet Extranet Architect and Implementation,2024-01-11 00:00:00,Implementation,Contractor,5,187.5,937.5,Government/Municipality
40,State Transportation,Intranet Extranet Architect and Implementation,2024-01-11 00:00:00,PM,BG,1,162.5,162.5,Government/Municipality
41,State Transportation,Azure Data Pipeline,2024-01-11 00:00:00,Data Management Consultant,Contractor,0.5,187.5,93.75,Government/Municipality
42,State Transportation,Intranet Extranet Architect and Implementation,2024-01-12 00:00:00,Create record libraries or lists,GO,1,200,200,Government/Municipality
43,State Transportation,Intranet Extranet Architect and Implementation,2024-01-12 00:00:00,Implementation,Contractor,5,187.5,937.5,Government/Municipality
44,State Transportation,Azure Data Pipeline,2024-01-12 00:00:00,PM,BG,1,150,150,Government/Municipality
45,State Transportation,Azure Data Pipeline,2024-01-12 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
46,State Transportation,Intranet Extranet Architect and Implementation,2024-01-15 00:00:00,Implementation (int),GO,6,200,1200,Government/Municipality
47,State Transportation,Intranet Extranet Architect and Implementation,2024-01-15 00:00:00,PM,BG,1,162.5,162.5,Government/Municipality
48,State Transportation,Azure Data Pipeline,2024-01-15 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
49,State Transportation,Intranet Extranet Architect and Implementation,2024-01-16 00:00:00,Implementation (int),GO,4,200,800,Government/Municipality
50,State Transportation,Intranet Extranet Architect and Implementation,2024-01-16 00:00:00,PM,BG,1,162.5,162.5,Government/Municipality
51,State Transportation,Intranet Extranet Architect and Implementation,2024-01-17 00:00:00,Implementation (int),GO,1,200,200,Government/Municipality
52,State Transportation,Intranet Extranet Architect and Implementation,2024-01-17 00:00:00,PM,BG,1,162.5,162.5,Government/Municipality
53,State Transportation,Intranet Extranet Architect and Implementation,2024-01-18 00:00:00,Implementation (int),GO,8,200,1600,Government/Municipality
54,State Transportation,Intranet Extranet Architect and Implementation,2024-01-18 00:00:00,Implementation,Contractor,1,187.5,187.5,Government/Municipality
55,State Transportation,Intranet Extranet Architect and Implementation,2024-01-18 00:00:00,PM,BG,1,162.5,162.5,Government/Municipality
56,State Transportation,Azure Data Pipeline,2024-01-18 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
57,State Transportation,Intranet Extranet Architect and Implementation,2024-01-19 00:00:00,Implementation (int),GO,1,200,200,Government/Municipality
58,State Transportation,Intranet Extranet Architect and Implementation,2024-01-19 00:00:00,PM,BG,1.5,162.5,243.75,Government/Municipality
59,State Transportation,Azure Data Pipeline,2024-01-19 00:00:00,PM,BG,1,150,150,Government/Municipality
60,State Transportation,Azure Data Pipeline,2024-01-19 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
61,State Transportation,Intranet Extranet Architect and Implementation,2024-01-22 00:00:00,Implementation (int),GO,1,200,200,Government/Municipality
62,State Transportation,Intranet Extranet Architect and Implementation,2024-01-22 00:00:00,PM,BG,1,162.5,162.5,Government/Municipality
63,State Transportation,Azure Data Pipeline,2024-01-22 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
64,State Transportation,Intranet Extranet Architect and Implementation,2024-01-23 00:00:00,Implementation (int),GO,4.25,200,850,Government/Municipality
65,State Transportation,Intranet Extranet Architect and Implementation,2024-01-24 00:00:00,Implementation (int),GO,2.75,200,550,Government/Municipality
66,State Transportation,Intranet Extranet Architect and Implementation,2024-01-24 00:00:00,PM,BG,1,162.5,162.5,Government/Municipality
67,State Transportation,Intranet Extranet Architect and Implementation,2024-01-25 00:00:00,Implementation (int),GO,2.5,200,500,Government/Municipality
68,State Transportation,Intranet Extranet Architect and Implementation,2024-01-25 00:00:00,PM,BG,1,162.5,162.5,Government/Municipality
69,State Transportation,Intranet Extranet Architect and Implementation,2024-01-26 00:00:00,Implementation (int),GO,4.5,200,900,Government/Municipality
70,State Transportation,Intranet Extranet Architect and Implementation,2024-01-26 00:00:00,PM,BG,1,162.5,162.5,Government/Municipality
71,State Transportation,Azure Data Pipeline,2024-01-26 00:00:00,PM,BG,1,150,150,Government/Municipality
72,State Transportation,Azure Data Pipeline,2024-01-26 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
73,State Transportation,Intranet Extranet Architect and Implementation,2024-01-27 00:00:00,Implementation,Contractor,8,187.5,1500,Government/Municipality
74,State Transportation,Intranet Extranet Architect and Implementation,2024-01-28 00:00:00,Implementation,Contractor,8,187.5,1500,Government/Municipality
75,State Transportation,Azure Data Pipeline,2024-01-28 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
76,State Transportation,Intranet Extranet Architect and Implementation,2024-01-29 00:00:00,Implementation,Contractor,8,187.5,1500,Government/Municipality
77,State Transportation,Intranet Extranet Architect and Implementation,2024-01-29 00:00:00,PM,BG,1,162.5,162.5,Government/Municipality
78,State Transportation,Azure Data Pipeline,2024-01-29 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
79,State Transportation,Intranet Extranet Architect and Implementation,2024-01-30 00:00:00,Implementation (int),GO,4.5,200,900,Government/Municipality
80,State Transportation,Intranet Extranet Architect and Implementation,2024-01-30 00:00:00,Implementation,Contractor,8,187.5,1500,Government/Municipality
81,State Transportation,Azure Data Pipeline,2024-01-30 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
82,State Transportation,Intranet Extranet Architect and Implementation,2024-01-31 00:00:00,Implementation (int),GO,5,200,1000,Government/Municipality
83,State Transportation,Intranet Extranet Architect and Implementation,2024-01-31 00:00:00,PM,BG,1,162.5,162.5,Government/Municipality
84,State Transportation,Intranet Extranet Architect and Implementation,2024-02-01 00:00:00,Implementation (int),GO,4,200,800,Government/Municipality
85,State Transportation,Intranet Extranet Architect and Implementation,2024-02-01 00:00:00,PM,BG,1,162.5,162.5,Government/Municipality
86,State Transportation,Azure Data Pipeline,2024-02-01 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
87,State Transportation,Intranet Extranet Architect and Implementation,2024-02-02 00:00:00,Implementation (int),GO,5,200,1000,Government/Municipality
88,State Transportation,Intranet Extranet Architect and Implementation,2024-02-02 00:00:00,PM,BG,3,162.5,487.5,Government/Municipality
89,State Transportation,Azure Data Pipeline,2024-02-02 00:00:00,PM,BG,1,150,150,Government/Municipality
90,State Transportation,Azure Data Pipeline,2024-02-02 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
91,State Transportation,Azure Data Pipeline,2024-02-03 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
92,State Transportation,Intranet Extranet Architect and Implementation,2024-02-05 00:00:00,Implementation (int),GO,3.5,200,700,Government/Municipality
93,State Transportation,Intranet Extranet Architect and Implementation,2024-02-05 00:00:00,PM,BG,2.5,162.5,406.25,Government/Municipality
94,State Transportation,Azure Data Pipeline,2024-02-05 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
95,State Transportation,Intranet Extranet Architect and Implementation,2024-02-06 00:00:00,Implementation (int),GO,4,200,800,Government/Municipality
96,State Transportation,Intranet Extranet Architect and Implementation,2024-02-06 00:00:00,PM,BG,2,162.5,325,Government/Municipality
97,State Transportation,Azure Data Pipeline,2024-02-06 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
98,State Transportation,Intranet Extranet Architect and Implementation,2024-02-07 00:00:00,Implementation (int),GO,3,200,600,Government/Municipality
99,State Transportation,Intranet Extranet Architect and Implementation,2024-02-07 00:00:00,PM,BG,2,162.5,325,Government/Municipality
100,State Transportation,Intranet Extranet Architect and Implementation,2024-02-08 00:00:00,Implementation (int),GO,5.5,200,1100,Government/Municipality
101,State Transportation,Intranet Extranet Architect and Implementation,2024-02-08 00:00:00,PM,BG,3,162.5,487.5,Government/Municipality
102,State Transportation,Azure Data Pipeline,2024-02-08 00:00:00,Data Management Consultant,Contractor,4,187.5,750,Government/Municipality
103,State Transportation,Intranet Extranet Architect and Implementation,2024-02-09 00:00:00,Implementation (int),GO,5,200,1000,Government/Municipality
104,State Transportation,Intranet Extranet Architect and Implementation,2024-02-09 00:00:00,PM,BG,1,162.5,162.5,Government/Municipality
105,State Transportation,Azure Data Pipeline,2024-02-09 00:00:00,PM,BG,1,150,150,Government/Municipality
106,State Transportation,Intranet Extranet Architect and Implementation,2024-02-10 00:00:00,UAT and Validation,Contractor,10,187.5,1875,Government/Municipality
107,State Transportation,Intranet Extranet Architect and Implementation,2024-02-11 00:00:00,UAT and Validation,Contractor,10,187.5,1875,Government/Municipality
108,State Transportation,Intranet Extranet Architect and Implementation,2024-02-12 00:00:00,Implementation (int),GO,1.5,200,300,Government/Municipality
109,State Transportation,Intranet Extranet Architect and Implementation,2024-02-12 00:00:00,PM,BG,3,162.5,487.5,Government/Municipality
110,State Transportation,Intranet Extranet Architect and Implementation,2024-02-13 00:00:00,Implementation (int),GO,4,200,800,Government/Municipality
111,State Transportation,Intranet Extranet Architect and Implementation,2024-02-13 00:00:00,PM,BG,2,162.5,325,Government/Municipality
112,State Transportation,Azure Data Pipeline,2024-02-13 00:00:00,Data Management Consultant,Contractor,3,187.5,562.5,Government/Municipality
113,State Transportation,Intranet Extranet Architect and Implementation,2024-02-14 00:00:00,Implementation (int),GO,2.5,200,500,Government/Municipality
114,State Transportation,Intranet Extranet Architect and Implementation,2024-02-14 00:00:00,PM,BG,2,162.5,325,Government/Municipality
115,State Transportation,Azure Data Pipeline,2024-02-14 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
116,State Transportation,Intranet Extranet Architect and Implementation,2024-02-15 00:00:00,Implementation (int),GO,3.5,200,700,Government/Municipality
117,State Transportation,Intranet Extranet Architect and Implementation,2024-02-15 00:00:00,PM,BG,3,162.5,487.5,Government/Municipality
118,State Transportation,Intranet Extranet Architect and Implementation,2024-02-16 00:00:00,Implementation (int),GO,3,200,600,Government/Municipality
119,State Transportation,Intranet Extranet Architect and Implementation,2024-02-16 00:00:00,PM,BG,3,162.5,487.5,Government/Municipality
120,State Transportation,Azure Data Pipeline,2024-02-16 00:00:00,PM,BG,1,150,150,Government/Municipality
121,State Transportation,Azure Data Pipeline,2024-02-17 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
122,State Transportation,Intranet Extranet Architect and Implementation,2024-02-19 00:00:00,Implementation (int),GO,5,200,1000,Government/Municipality
123,State Transportation,Intranet Extranet Architect and Implementation,2024-02-19 00:00:00,PM,BG,2,162.5,325,Government/Municipality
124,State Transportation,Intranet Extranet Architect and Implementation,2024-02-20 00:00:00,PM,BG,3,162.5,487.5,Government/Municipality
125,State Transportation,Intranet Extranet Architect and Implementation,2024-02-20 00:00:00,Implementation (int),GO,5.5,200,1100,Government/Municipality
126,State Transportation,Intranet Extranet Architect and Implementation,2024-02-21 00:00:00,PM,BG,4,162.5,650,Government/Municipality
127,State Transportation,Intranet Extranet Architect and Implementation,2024-02-21 00:00:00,Implementation (int),GO,3,200,600,Government/Municipality
128,State Transportation,Azure Data Pipeline,2024-02-21 00:00:00,Data Management Consultant,Contractor,4,187.5,750,Government/Municipality
129,State Transportation,Intranet Extranet Architect and Implementation,2024-02-22 00:00:00,PM,BG,2,162.5,325,Government/Municipality
130,State Transportation,Intranet Extranet Architect and Implementation,2024-02-22 00:00:00,Implementation (int),GO,1.5,200,300,Government/Municipality
131,State Transportation,Azure Data Pipeline,2024-02-22 00:00:00,Data Management Consultant,Contractor,4,187.5,750,Government/Municipality
132,State Transportation,Intranet Extranet Architect and Implementation,2024-02-23 00:00:00,PM,BG,2,162.5,325,Government/Municipality
133,State Transportation,Azure Data Pipeline,2024-02-23 00:00:00,PM,BG,1,150,150,Government/Municipality
134,State Transportation,Intranet Extranet Architect and Implementation,2024-02-23 00:00:00,Implementation (int),GO,1,200,200,Government/Municipality
135,State Transportation,Azure Data Pipeline,2024-02-24 00:00:00,Data Management Consultant,Contractor,3,187.5,562.5,Government/Municipality
136,State Transportation,Intranet Extranet Architect and Implementation,2024-02-26 00:00:00,Implementation (int),GO,8,200,1600,Government/Municipality
137,State Transportation,Intranet Extranet Architect and Implementation,2024-02-26 00:00:00,PM,BG,2,162.5,325,Government/Municipality
138,State Transportation,Intranet Extranet Architect and Implementation,2024-02-27 00:00:00,Implementation (int),GO,8,200,1600,Government/Municipality
139,State Transportation,Intranet Extranet Architect and Implementation,2024-02-27 00:00:00,PM,BG,5,162.5,812.5,Government/Municipality
140,State Transportation,Intranet Extranet Architect and Implementation,2024-02-28 00:00:00,Implementation (int),GO,8,200,1600,Government/Municipality
141,State Transportation,Intranet Extranet Architect and Implementation,2024-02-28 00:00:00,PM,BG,4,162.5,650,Government/Municipality
142,State Transportation,Intranet Extranet Architect and Implementation,2024-02-29 00:00:00,Implementation (int),GO,8,200,1600,Government/Municipality
143,State Transportation,Intranet Extranet Architect and Implementation,2024-02-29 00:00:00,PM,BG,6,162.5,975,Government/Municipality
144,State Transportation,Intranet Extranet Architect and Implementation,2024-03-01 00:00:00,UAT and Validation (int),GO,8,200,1600,Government/Municipality
145,State Transportation,Azure Data Pipeline,2024-03-01 00:00:00,PM,BG,1,150,150,Government/Municipality
146,State Transportation,Intranet Extranet Architect and Implementation,2024-03-01 00:00:00,PM,BG,6,162.5,975,Government/Municipality
147,State Transportation,Azure Data Pipeline,2024-03-03 00:00:00,Data Management Consultant,Contractor,3,187.5,562.5,Government/Municipality
148,State Transportation,Intranet Extranet Architect and Implementation,2024-03-04 00:00:00,PM,BG,3,162.5,487.5,Government/Municipality
149,State Transportation,Intranet Extranet Architect and Implementation,2024-03-04 00:00:00,UAT and Validation (int),GO,4,200,800,Government/Municipality
150,State Transportation,Azure Data Pipeline,2024-03-04 00:00:00,Data Management Consultant,Contractor,2.5,187.5,468.75,Government/Municipality
151,State Transportation,Intranet Extranet Architect and Implementation,2024-03-05 00:00:00,PM,BG,3,162.5,487.5,Government/Municipality
152,State Transportation,Intranet Extranet Architect and Implementation,2024-03-05 00:00:00,UAT and Validation (int),GO,4,200,800,Government/Municipality
153,State Transportation,Azure Data Pipeline,2024-03-05 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
154,State Transportation,Intranet Extranet Architect and Implementation,2024-03-06 00:00:00,PM,BG,2,162.5,325,Government/Municipality
155,State Transportation,Intranet Extranet Architect and Implementation,2024-03-06 00:00:00,UAT and Validation (int),GO,1,200,200,Government/Municipality
156,State Transportation,Azure Data Pipeline,2024-03-06 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
157,State Transportation,Intranet Extranet Architect and Implementation,2024-03-07 00:00:00,PM,BG,3,162.5,487.5,Government/Municipality
158,State Transportation,Intranet Extranet Architect and Implementation,2024-03-07 00:00:00,UAT and Validation (int),GO,4,200,800,Government/Municipality
159,State Transportation,Azure Data Pipeline,2024-03-08 00:00:00,PM,BG,1,150,150,Government/Municipality
160,State Transportation,Intranet Extranet Architect and Implementation,2024-03-08 00:00:00,PM,BG,4,162.5,650,Government/Municipality
161,State Transportation,Intranet Extranet Architect and Implementation,2024-03-08 00:00:00,UAT and Validation (int),GO,3,200,600,Government/Municipality
162,State Transportation,Azure Data Pipeline,2024-03-08 00:00:00,Data Management Consultant,Contractor,2.5,187.5,468.75,Government/Municipality
163,State Transportation,Intranet Extranet Architect and Implementation,2024-03-11 00:00:00,UAT and Validation (int),GO,5.25,200,1050,Government/Municipality
164,State Transportation,Intranet Extranet Architect and Implementation,2024-03-11 00:00:00,PM,BG,4,162.5,650,Government/Municipality
165,State Transportation,Intranet Extranet Architect and Implementation,2024-03-12 00:00:00,UAT and Validation (int),GO,2.5,200,500,Government/Municipality
166,State Transportation,Intranet Extranet Architect and Implementation,2024-03-12 00:00:00,PM,BG,4,162.5,650,Government/Municipality
167,State Transportation,Azure Data Pipeline,2024-03-12 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
168,State Transportation,Intranet Extranet Architect and Implementation,2024-03-13 00:00:00,UAT and Validation (int),GO,1.5,200,300,Government/Municipality
169,State Transportation,Intranet Extranet Architect and Implementation,2024-03-13 00:00:00,PM,BG,3,162.5,487.5,Government/Municipality
170,State Transportation,Intranet Extranet Architect and Implementation,2024-03-14 00:00:00,UAT and Validation (int),GO,1.5,200,300,Government/Municipality
171,State Transportation,Intranet Extranet Architect and Implementation,2024-03-14 00:00:00,PM,BG,6,162.5,975,Government/Municipality
172,State Transportation,Azure Data Pipeline,2024-03-14 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
173,State Transportation,Intranet Extranet Architect and Implementation,2024-03-15 00:00:00,UAT and Validation (int),GO,3,200,600,Government/Municipality
174,State Transportation,Intranet Extranet Architect and Implementation,2024-03-15 00:00:00,PM,BG,2,162.5,325,Government/Municipality
175,State Transportation,Azure Data Pipeline,2024-03-15 00:00:00,PM,BG,1.5,150,225,Government/Municipality
176,State Transportation,Intranet Extranet Architect and Implementation,2024-03-18 00:00:00,PM,BG,2,162.5,325,Government/Municipality
177,State Transportation,Intranet Extranet Architect and Implementation,2024-03-19 00:00:00,PM,BG,6,162.5,975,Government/Municipality
178,State Transportation,Intranet Extranet Architect and Implementation,2024-03-20 00:00:00,UAT and Validation (int),GO,8,200,1600,Government/Municipality
179,State Transportation,Azure Data Pipeline,2024-03-22 00:00:00,Data Management Consultant,Contractor,3,187.5,562.5,Government/Municipality
180,State Transportation,Azure Data Pipeline,2024-03-23 00:00:00,Data Management Consultant,Contractor,2.5,187.5,468.75,Government/Municipality
181,State Transportation,Azure Data Pipeline,2024-03-26 00:00:00,Data Management Consultant,Contractor,1.5,187.5,281.25,Government/Municipality
182,State Transportation,Azure Data Pipeline,2024-03-27 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
183,State Transportation,Azure Data Pipeline,2024-03-28 00:00:00,Data Management Consultant,Contractor,2.5,187.5,468.75,Government/Municipality
184,State Transportation,Azure Data Pipeline,2024-04-08 00:00:00,Data Management Consultant,Contractor,1.5,187.5,281.25,Government/Municipality
185,State Transportation,Azure Data Pipeline,2024-04-08 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
186,State Transportation,Azure Data Pipeline,2024-04-12 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
187,State Transportation,Azure Data Pipeline,2024-04-18 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
188,State Transportation,Azure Data Pipeline,2024-04-26 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
189,State Transportation,Azure Data Pipeline,2024-05-03 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
190,State Transportation,Azure Data Pipeline,2024-05-06 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
191,State Transportation,Azure Data Pipeline,2024-05-13 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
192,State Transportation,Azure Data Pipeline,2024-05-14 00:00:00,Data Management Consultant,Contractor,0.5,187.5,93.75,Government/Municipality
193,State Transportation,Azure Data Pipeline,2024-05-29 00:00:00,Data Management Consultant,Contractor,0.5,187.5,93.75,Government/Municipality
194,State Transportation,Azure Data Pipeline,2024-05-30 00:00:00,Data Management Consultant,Contractor,0.5,187.5,93.75,Government/Municipality
195,State Transportation,Azure Data Pipeline,2024-05-31 00:00:00,Data Management Consultant,Contractor,0.5,187.5,93.75,Government/Municipality
196,State Transportation,Azure Data Pipeline,2024-06-01 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
197,State Transportation,Azure Data Pipeline,2024-06-03 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
198,State Transportation,Azure Data Pipeline,2024-06-04 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
199,State Transportation,Azure Data Pipeline,2024-06-07 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
200,State Transportation,Azure Data Pipeline,2024-06-08 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
201,State Transportation,Azure Data Pipeline,2024-06-12 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
202,State Transportation,Azure Data Pipeline,2024-06-13 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
203,State Transportation,Azure Data Pipeline,2024-06-26 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
204,State Transportation,Azure Data Pipeline,2024-06-27 00:00:00,Data Management Consultant,Contractor,0.5,187.5,93.75,Government/Municipality
205,State Transportation,Azure Data Pipeline,2024-06-28 00:00:00,Data Management Consultant,Contractor,0.5,187.5,93.75,Government/Municipality
206,State Transportation,Azure Data Pipeline,2024-08-02 00:00:00,Data Management Consultant,Contractor,0.5,187.5,93.75,Government/Municipality
207,State Transportation,Azure Data Pipeline,2024-08-08 00:00:00,Data Management Consultant,Contractor,0.5,187.5,93.75,Government/Municipality
208,State Transportation,Azure Data Pipeline,2024-08-13 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
209,State Transportation,Azure Data Pipeline,2024-08-19 00:00:00,Data Management Consultant,Contractor,0.5,187.5,93.75,Government/Municipality
210,State Transportation,Azure Data Pipeline,2024-11-20 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
211,State Transportation,Azure Data Pipeline,2024-11-26 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
212,State Transportation,Intranet Extranet Architect and Implementation,2024-01-01 00:00:00,Implementation (int),MF,3,200,600,Government/Municipality
213,State Transportation,Intranet Extranet Architect and Implementation,2024-01-02 00:00:00,Implementation (int),MF,3,200,600,Government/Municipality
214,State Transportation,Intranet Extranet Architect and Implementation,2024-01-03 00:00:00,Implementation (int),MF,3,200,600,Government/Municipality
215,State Transportation,Intranet Extranet Architect and Implementation,2024-01-04 00:00:00,Implementation (int),MF,3,200,600,Government/Municipality
216,State Transportation,Intranet Extranet Architect and Implementation,2024-01-08 00:00:00,Implementation (int),MF,3,200,600,Government/Municipality
217,State Transportation,Intranet Extranet Architect and Implementation,2024-01-09 00:00:00,Implementation (int),MF,3,200,600,Government/Municipality
218,State Transportation,Intranet Extranet Architect and Implementation,2024-01-10 00:00:00,Implementation (int),MF,3,200,600,Government/Municipality
219,State Transportation,Intranet Extranet Architect and Implementation,2024-01-11 00:00:00,Implementation (int),MF,3,200,600,Government/Municipality
220,State Transportation,Intranet Extranet Architect and Implementation,2024-01-15 00:00:00,Implementation (int),MF,3,200,600,Government/Municipality
